pdb,chain,lig,name,smiles,mw,additional_pdbs
6TH7,A,N9K,(2~{S})-3-(4-hydroxyphenyl)-2-(methylamino)propanoic,CN[C@@H](Cc1ccc(O)cc1)C(O)=O,195.215,NA
6TH7,A,PHA,PHENYLALANINAL,N[C@@H](Cc1ccccc1)C=O,149.190,['6TH7_B']
6TH7,A,AA4,2-AMINO-5-HYDROXYPENTANOIC,N[C@@H](CCCO)C(O)=O,133.146,['6TH7_B']
6TH7,B,ABA,ALPHA-AMINOBUTYRIC,CC[C@H](N)C(O)=O,103.120,NA
6TH7,B,VAL,VALINE,CC(C)[C@H](N)C(O)=O,117.146,NA
6TH7,B,O4Q,(~{E})-4-chloranyl-3-methyl-but-3-enal,CC(=CCl)CC=O,118.561,NA
6TH7,B,ILE,ISOLEUCINE,CC[C@H](C)[C@H](N)C(O)=O,131.173,NA
6TH7,B,PHA,PHENYLALANINAL,N[C@@H](Cc1ccccc1)C=O,149.190,NA
6TH7,B,AA4,2-AMINO-5-HYDROXYPENTANOIC,N[C@@H](CCCO)C(O)=O,133.146,NA
6TH7,B,YNM,N-METHYL-L-TYROSINE,CN[C@@H](Cc1ccc(O)cc1)C(O)=O,195.215,NA
7EST,E,0Z2,N-(trifluoroacetyl)-L-leucyl-N-[4-(trifluoromethyl)phenyl]-L-alaninamide,CC(C)C[C@H](NC(=O)C(F)(F)F)C(=O)N[C@@H](C)C(=O)Nc1ccc(cc1)C(F)(F)F,441.368,NA
8EST,E,GIS,ETHYL-(2-CARBOXY-4-GUANIDINIUM-PHENYL)-CHLOROACETATE,CCOC(=O)[C@@H](Cl)c1ccc(NC(N)=N)cc1C(O)=O,299.710,NA
9EST,A,IBR,None,c1cc(c(cc1N)C=O)CC(=O)OCCBr,286.122,NA
